ID	CHR	START	STOP	SYM	TYPE
TTC34	1	2635975	2801721	ENSG00000215912	protein_coding
ACTRT2	1	3021481	3022901	ENSG00000169717	protein_coding
LINC00982	1	3064071	3068437	ENSG00000177133	antisense
PRDM16	1	3069167	3438621	ENSG00000142611	protein_coding
ARHGEF16	1	3454425	3481113	ENSG00000130762	protein_coding
MEGF6	1	3489919	3611495	ENSG00000162591	protein_coding
MIR551A	1	3560694	3560790	ENSG00000207776	miRNA
TPRG1L	1	3625001	3630127	ENSG00000158109	protein_coding
WRAP73	1	3630766	3652761	ENSG00000116213	protein_coding
TP73	1	3652519	3736201	ENSG00000078900	protein_coding
TP73-AS1	1	3735983	3747336	ENSG00000227372	antisense
CCDC27	1	3752397	3771645	ENSG00000162592	protein_coding
SMIM1	1	3772787	3775982	ENSG00000235169	protein_coding
LRRC47	1	3780219	3796504	ENSG00000130764	protein_coding
CEP104	1	3812080	3857214	ENSG00000116198	protein_coding
DFFB	1	3857280	3885429	ENSG00000169598	protein_coding
C1orf174	1	3889124	3900285	ENSG00000198912	protein_coding
LINC01134	1	3900371	3917225	ENSG00000236423	lincRNA
AJAP1	1	4654731	4792534	ENSG00000196581	protein_coding
MIR4417	1	5564070	5564143	ENSG00000264341	miRNA
MIR4689	1	5862671	5862741	ENSG00000264101	miRNA
NPHP4	1	5862810	5986327	ENSG00000131697	protein_coding
KCNAB2	1	5991465	6101193	ENSG00000069424	protein_coding
CHD5	1	6101792	6180123	ENSG00000116254	protein_coding
RPL22	1	6181268	6208739	ENSG00000116251	protein_coding
RNF207	1	6206128	6218369	ENSG00000158286	protein_coding
ICMT	1	6231901	6235972	ENSG00000116237	protein_coding
LINC00337	1	6236239	6239444	ENSG00000225077	lincRNA
HES3	1	6244191	6245578	ENSG00000173673	protein_coding
GPR153	1	6247345	6260975	ENSG00000158292	protein_coding
ACOT7	1	6264268	6394391	ENSG00000097021	protein_coding
HES2	1	6412417	6424670	ENSG00000069812	protein_coding
ESPN	1	6424787	6460980	ENSG00000187017	protein_coding
MIR4252	1	6429833	6429896	ENSG00000265392	miRNA
TNFRSF25	1	6461993	6465630	ENSG00000215788	protein_coding
PLEKHG5	1	6467824	6520061	ENSG00000171680	protein_coding
NOL9	1	6521346	6554535	ENSG00000162408	protein_coding
TAS1R1	1	6555180	6579757	ENSG00000173662	protein_coding
ZBTB48	1	6580000	6589280	ENSG00000204859	protein_coding
KLHL21	1	6590723	6614607	ENSG00000162413	protein_coding
PHF13	1	6613684	6624033	ENSG00000116273	protein_coding
THAP3	1	6624865	6633565	ENSG00000041988	protein_coding
DNAJC11	1	6636116	6701924	ENSG00000007923	protein_coding
CAMTA1	1	6785323	7769706	ENSG00000171735	protein_coding
VAMP3	1	7771268	7781432	ENSG00000049245	protein_coding
PER3	1	7784319	7837149	ENSG00000049246	protein_coding
UTS2	1	7846691	7853512	ENSG00000049247	protein_coding
TNFRSF9	1	7919846	7940866	ENSG00000049249	protein_coding
PARK7	1	7954290	7985505	ENSG00000116288	protein_coding
ERRFI1	1	8004403	8026308	ENSG00000116285	protein_coding
SLC45A1	1	8317825	8344167	ENSG00000162426	protein_coding
RERE	1	8352396	8817643	ENSG00000142599	protein_coding
ENO1	1	8861001	8879249	ENSG00000074800	protein_coding
ENO1-AS1	1	8878834	8879894	ENSG00000230679	antisense
CA6	1	8945866	8975092	ENSG00000131686	protein_coding
SLC2A7	1	9003299	9026345	ENSG00000197241	protein_coding
SLC2A5	1	9035106	9088478	ENSG00000142583	protein_coding
GPR157	1	9100304	9129170	ENSG00000180758	protein_coding
MIR34A	1	9151667	9151777	ENSG00000207865	miRNA
H6PD	1	9234774	9271337	ENSG00000049239	protein_coding
SPSB1	1	9292879	9369532	ENSG00000171621	protein_coding
SLC25A33	1	9539481	9585179	ENSG00000171612	protein_coding
TMEM201	1	9588873	9614877	ENSG00000188807	protein_coding
PIK3CD	1	9651731	9724936	ENSG00000171608	protein_coding
CLSTN1	1	9731121	9824526	ENSG00000171603	protein_coding
CTNNBIP1	1	9848275	9910336	ENSG00000178585	protein_coding
LZIC	1	9922114	9943407	ENSG00000162441	protein_coding
NMNAT1	1	9943427	9985501	ENSG00000173614	protein_coding
RBP7	1	9997205	10016020	ENSG00000162444	protein_coding
UBE4B	1	10032831	10181239	ENSG00000130939	protein_coding
KIF1B	1	10210804	10381603	ENSG00000054523	protein_coding
PGD	1	10398591	10420144	ENSG00000142657	protein_coding
CORT	1	10449718	10450322	ENSG00000241563	protein_coding
DFFA	1	10456521	10472526	ENSG00000160049	protein_coding
PEX14	1	10474886	10630758	ENSG00000142655	protein_coding
CASZ1	1	10636603	10796650	ENSG00000130940	protein_coding
C1orf127	1	10946472	10982037	ENSG00000175262	protein_coding
TARDBP	1	11012356	11025739	ENSG00000120948	protein_coding
MASP2	1	11026522	11047233	ENSG00000009724	protein_coding
SRM	1	11054588	11060024	ENSG00000116649	protein_coding
EXOSC10	1	11066617	11099881	ENSG00000171824	protein_coding
MTOR	1	11106534	11262507	ENSG00000198793	protein_coding
MTOR-AS1	1	11143897	11149537	ENSG00000225602	antisense
ANGPTL7	1	11189340	11195981	ENSG00000171819	protein_coding
UBIAD1	1	11273205	11296049	ENSG00000120942	protein_coding
PTCHD2	1	11479165	11537584	ENSG00000204624	protein_coding
FBXO2	1	11648366	11653529	ENSG00000116661	protein_coding
FBXO44	1	11654856	11663327	ENSG00000132879	protein_coding
FBXO6	1	11664123	11674354	ENSG00000116663	protein_coding
MAD2L2	1	11674479	11691650	ENSG00000116670	protein_coding
DRAXIN	1	11691728	11725857	ENSG00000162490	protein_coding
AGTRAP	1	11736083	11754802	ENSG00000177674	protein_coding
C1orf167	1	11761786	11785289	ENSG00000215910	protein_coding
MTHFR	1	11791206	11805294	ENSG00000177000	protein_coding
CLCN6	1	11807130	11843144	ENSG00000011021	protein_coding
NPPA-AS1	1	11841016	11848079	ENSG00000242349	antisense
NPPA	1	11845708	11848345	ENSG00000175206	protein_coding
NPPB	1	11857463	11858931	ENSG00000120937	protein_coding
RNU5E-1	1	11908151	11908271	ENSG00000199347	snRNA
KIAA2013	1	11919590	11926428	ENSG00000116685	protein_coding
PLOD1	1	11934204	11975538	ENSG00000083444	protein_coding
MFN2	1	11980180	12013514	ENSG00000116688	protein_coding
MIIP	1	12019465	12032045	ENSG00000116691	protein_coding
TNFRSF8	1	12063376	12144207	ENSG00000120949	protein_coding
TNFRSF1B	1	12167002	12209228	ENSG00000028137	protein_coding
MIR4632	1	12191712	12191773	ENSG00000263676	miRNA
DHRS3	1	12567909	12617731	ENSG00000162496	protein_coding
AADACL4	1	12644546	12667086	ENSG00000204518	protein_coding
AADACL3	1	12716114	12728759	ENSG00000188984	protein_coding
PRAMEF12	1	12774840	12777906	ENSG00000116726	protein_coding
HNRNPCL1	1	12847407	12848725	ENSG00000179172	protein_coding
PRAMEF2	1	12857085	12861909	ENSG00000120952	protein_coding
PRAMEF4	1	12879223	12886201	ENSG00000243073	protein_coding
LRRC38	1	13474976	13514048	ENSG00000162494	protein_coding
PDPN	1	13583464	13617957	ENSG00000162493	protein_coding
PRDM2	1	13700197	13825079	ENSG00000116731	protein_coding
KAZN	1	14598703	15118043	ENSG00000189337	protein_coding
TMEM51-AS1	1	15115951	15152464	ENSG00000175147	antisense
TMEM51	1	15152531	15220480	ENSG00000171729	protein_coding
C1orf195	1	15164343	15171317	ENSG00000204464	lincRNA
FHAD1	1	15247271	15400283	ENSG00000142621	protein_coding
EFHD2	1	15409894	15430343	ENSG00000142634	protein_coding
CTRC	1	15438438	15449242	ENSG00000162438	protein_coding
CELA2A	1	15456727	15472091	ENSG00000142615	protein_coding
CELA2B	1	15476100	15487437	ENSG00000215704	protein_coding
CASP9	1	15495272	15526534	ENSG00000132906	protein_coding
DNAJC16	1	15526812	15592379	ENSG00000116138	protein_coding
AGMAT	1	15572352	15585110	ENSG00000116771	protein_coding
DDI2	1	15617499	15656679	ENSG00000197312	protein_coding
PLEKHM2	1	15684331	15734769	ENSG00000116786	protein_coding
SLC25A34	1	15736404	15741396	ENSG00000162461	protein_coding
TMEM82	1	15742421	15747982	ENSG00000162460	protein_coding
FBLIM1	1	15756606	15786594	ENSG00000162458	protein_coding
UQCRHL	1	15807183	15807699	ENSG00000233954	protein_coding
FLJ37453	1	15834064	15848147	ENSG00000179743	antisense
SPEN	1	15847863	15940460	ENSG00000065526	protein_coding
ZBTB17	1	15941868	15976132	ENSG00000116809	protein_coding
C1orf64	1	16004235	16008807	ENSG00000183888	protein_coding
HSPB7	1	16014027	16019594	ENSG00000173641	protein_coding
CLCNKA	1	16018874	16034050	ENSG00000186510	protein_coding
CLCNKB	1	16043776	16057308	ENSG00000184908	protein_coding
FAM131C	1	16057768	16073632	ENSG00000185519	protein_coding
EPHA2	1	16124336	16156087	ENSG00000142627	protein_coding
ARHGEF19	1	16197853	16212609	ENSG00000142632	protein_coding
RSG1	1	16231699	16237162	ENSG00000132881	protein_coding
FBXO42	1	16246838	16352454	ENSG00000037637	protein_coding
SZRD1	1	16352574	16393482	ENSG00000055070	protein_coding
SPATA21	1	16398642	16437424	ENSG00000187144	protein_coding
NECAP2	1	16440671	16460078	ENSG00000157191	protein_coding
CROCCP3	1	16467435	16499257	ENSG00000080947	transcribed_unprocessed_pseudogene
NBPF1	1	16562318	16613562	ENSG00000219481	protein_coding
CROCCP2	1	16618255	16634559	ENSG00000215908	transcribed_unprocessed_pseudogene
MST1P2	1	16645573	16650419	ENSG00000186301	unprocessed_pseudogene
ESPNP	1	16687338	16720157	ENSG00000268869	transcribed_unprocessed_pseudogene
CROCC	1	16740272	16972979	ENSG00000058453	protein_coding
MST1L	1	16754909	16770237	ENSG00000186715	transcribed_unprocessed_pseudogene
MFAP2	1	16974501	16980835	ENSG00000117122	protein_coding
ATP13A2	1	16985957	17011928	ENSG00000159363	protein_coding
SDHB	1	17018721	17054170	ENSG00000117118	protein_coding
PADI2	1	17066760	17119453	ENSG00000117115	protein_coding
PADI1	1	17205125	17246005	ENSG00000142623	protein_coding
PADI3	1	17249097	17284233	ENSG00000142619	protein_coding
PADI4	1	17308194	17364004	ENSG00000159339	protein_coding
RCC2	1	17406759	17439724	ENSG00000179051	protein_coding
ARHGEF10L	1	17539834	17697874	ENSG00000074964	protein_coding
ACTL8	1	17755312	17827063	ENSG00000117148	protein_coding
IGSF21	1	18107745	18378482	ENSG00000117154	protein_coding
KLHDC7A	1	18480929	18485984	ENSG00000179023	protein_coding
PAX7	1	18631005	18748866	ENSG00000009709	protein_coding
TAS1R2	1	18839598	18841852	ENSG00000179002	protein_coding
ALDH4A1	1	18871431	18902781	ENSG00000159423	protein_coding
MIR4695	1	18883201	18883275	ENSG00000265606	miRNA
IFFO2	1	18955667	18956686	ENSG00000169991	protein_coding
UBR4	1	19074505	19210276	ENSG00000127481	protein_coding
EMC1	1	19215663	19245030	ENSG00000127463	protein_coding
MRTO4	1	19254781	19260128	ENSG00000053372	protein_coding
AKR7L	1	19265981	19274194	ENSG00000211454	polymorphic_pseudogene
AKR7A3	1	19282557	19289250	ENSG00000162482	protein_coding
AKR7A2	1	19303964	19312146	ENSG00000053371	protein_coding
PQLC2	1	19312325	19329300	ENSG00000040487	protein_coding
CAPZB	1	19338772	19485572	ENSG00000077549	protein_coding
MINOS1	1	19597833	19625632	ENSG00000173436	protein_coding
MINOS1-NBL1	1	19634436	19640469	ENSG00000270136	protein_coding
NBL1	1	19643231	19647670	ENSG00000158747	protein_coding
HTR6	1	19665286	19679562	ENSG00000158748	protein_coding
TMCO4	1	19682212	19799945	ENSG00000162542	protein_coding
RNF186	1	19814029	19815278	ENSG00000178828	protein_coding
OTUD3	1	19882512	19912945	ENSG00000169914	protein_coding
PLA2G2E	1	19920008	19923617	ENSG00000188784	protein_coding
PLA2G2A	1	19975431	19980439	ENSG00000188257	protein_coding
PLA2G5	1	20028178	20091190	ENSG00000127472	protein_coding
PLA2G2D	1	20111938	20119557	ENSG00000117215	protein_coding
PLA2G2F	1	20139325	20150386	ENSG00000158786	protein_coding
PLA2G2C	1	20161252	20177424	ENSG00000187980	protein_coding
UBXN10-AS1	1	20184241	20186486	ENSG00000225986	antisense
UBXN10	1	20186084	20196048	ENSG00000162543	protein_coding
VWA5B1	1	20290918	20354894	ENSG00000158816	protein_coding
LINC01141	1	20360578	20431234	ENSG00000236963	lincRNA
CAMK2N1	1	20482390	20486220	ENSG00000162545	protein_coding
MUL1	1	20499449	20508161	ENSG00000090432	protein_coding
FAM43B	1	20552438	20555019	ENSG00000183114	protein_coding
CDA	1	20588947	20618908	ENSG00000158825	protein_coding
PINK1	1	20633454	20651511	ENSG00000158828	protein_coding
DDOST	1	20651776	20661507	ENSG00000244038	protein_coding
KIF17	1	20664013	20718017	ENSG00000117245	protein_coding
SH2D5	1	20719731	20732837	ENSG00000189410	protein_coding
HP1BP3	1	20742660	20787323	ENSG00000127483	protein_coding
EIF4G3	1	20806469	21176884	ENSG00000075151	protein_coding
MIR1256	1	20988313	20988432	ENSG00000221808	miRNA
ECE1	1	21217246	21345504	ENSG00000117298	protein_coding
NBPF3	1	21440127	21485005	ENSG00000142794	protein_coding
ALPL	1	21509364	21578412	ENSG00000162551	protein_coding
RAP1GAP	1	21596214	21669308	ENSG00000076864	protein_coding
USP48	1	21678297	21783606	ENSG00000090686	protein_coding
LDLRAD2	1	21812264	21821611	ENSG00000187942	protein_coding
HSPG2	1	21827862	21937297	ENSG00000142798	protein_coding
CELA3B	1	21977020	21998642	ENSG00000219073	protein_coding
CELA3A	1	22001655	22012539	ENSG00000142789	protein_coding
LINC00339	1	22025187	22031223	ENSG00000218510	lincRNA
CDC42	1	22052626	22092944	ENSG00000070831	protein_coding
WNT4	1	22117304	22143969	ENSG00000162552	protein_coding
ZBTB40	1	22451850	22531157	ENSG00000184677	protein_coding
EPHA8	1	22563563	22603594	ENSG00000070886	protein_coding
C1QA	1	22636505	22639608	ENSG00000173372	protein_coding
C1QC	1	22643629	22648110	ENSG00000159189	protein_coding
C1QB	1	22652761	22661538	ENSG00000173369	protein_coding
EPHB2	1	22710838	22915325	ENSG00000133216	protein_coding
MIR4684	1	22719516	22719598	ENSG00000265422	miRNA
MIR4253	1	22863158	22863226	ENSG00000264014	miRNA
LACTBL1	1	22953042	22965338	ENSG00000215906	protein_coding
C1orf234	1	23010833	23015850	ENSG00000227868	protein_coding
KDM1A	1	23019447	23083689	ENSG00000004487	protein_coding
MIR3115	1	23044304	23044372	ENSG00000263793	miRNA
LUZP1	1	23084022	23177808	ENSG00000169641	protein_coding
HTR1D	1	23190499	23194729	ENSG00000179546	protein_coding
HNRNPR	1	23303770	23344336	ENSG00000125944	protein_coding
ZNF436	1	23359447	23368386	ENSG00000125945	protein_coding
TCEA3	1	23381060	23424740	ENSG00000204219	protein_coding
ASAP3	1	23428562	23484568	ENSG00000088280	protein_coding
E2F2	1	23506429	23531220	ENSG00000007968	protein_coding
ID3	1	23557917	23559794	ENSG00000117318	protein_coding
MDS2	1	23581494	23640568	ENSG00000197880	protein_coding
RPL11	1	23691778	23696425	ENSG00000142676	protein_coding
TCEB3	1	23743154	23762059	ENSG00000011007	protein_coding
PITHD1	1	23778404	23788232	ENSG00000057757	protein_coding
LYPLA2	1	23790969	23795539	ENSG00000011009	protein_coding
GALE	1	23795598	23800781	ENSG00000117308	protein_coding
HMGCL	1	23801884	23838620	ENSG00000117305	protein_coding
FUCA1	1	23845076	23868294	ENSG00000179163	protein_coding
CNR2	1	23870525	23959059	ENSG00000188822	protein_coding
MIR378F	1	23929069	23929147	ENSG00000264926	miRNA
PNRC2	1	23959108	23963462	ENSG00000189266	protein_coding
SRSF10	1	23964803	23980927	ENSG00000188529	protein_coding
MYOM3	1	24056034	24112175	ENSG00000142661	protein_coding
IL22RA1	1	24119770	24143121	ENSG00000142677	protein_coding
IFNLR1	1	24154156	24187959	ENSG00000185436	protein_coding
GRHL3	1	24319321	24364482	ENSG00000158055	protein_coding
STPG1	1	24356998	24412027	ENSG00000001460	protein_coding
NIPAL3	1	24419290	24472976	ENSG00000001461	protein_coding
RCAN3	1	24502896	24533254	ENSG00000117602	protein_coding
NCMAP	1	24556110	24609328	ENSG00000184454	protein_coding
SRRM1	1	24631715	24673267	ENSG00000133226	protein_coding
CLIC4	1	24745356	24844324	ENSG00000169504	protein_coding
RUNX3	1	24899510	24965121	ENSG00000020633	protein_coding
SYF2	1	25222678	25232502	ENSG00000117614	protein_coding
RSRP1	1	25242236	25336265	ENSG00000117616	protein_coding
RHD	1	25272392	25330445	ENSG00000187010	protein_coding
TMEM50A	1	25338459	25356853	ENSG00000183726	protein_coding
RHCE	1	25370466	25430192	ENSG00000188672	protein_coding
TMEM57	1	25430896	25500209	ENSG00000204178	protein_coding
LDLRAP1	1	25543579	25568886	ENSG00000157978	protein_coding
MAN1C1	1	25617467	25786207	ENSG00000117643	protein_coding
SEPN1	1	25800175	25818222	ENSG00000162430	protein_coding
MTFR1L	1	25823237	25829831	ENSG00000117640	protein_coding
AUNIP	1	25834005	25859412	ENSG00000127423	protein_coding
PAQR7	1	25861209	25871253	ENSG00000182749	protein_coding
STMN1	1	25884180	25906991	ENSG00000117632	protein_coding
MIR3917	1	25906361	25906454	ENSG00000264021	miRNA
PAFAH2	1	25959766	25998157	ENSG00000158006	protein_coding
EXTL1	1	26019883	26036464	ENSG00000158008	protein_coding
SLC30A2	1	26037251	26046133	ENSG00000158014	protein_coding
TRIM63	1	26051303	26068436	ENSG00000158022	protein_coding
PDIK1L	1	26111172	26125543	ENSG00000175087	protein_coding
FAM110D	1	26159019	26162628	ENSG00000197245	protein_coding
ZNF593	1	26169870	26172060	ENSG00000142684	protein_coding
CNKSR1	1	26177402	26189886	ENSG00000142675	protein_coding
CATSPER4	1	26190560	26202968	ENSG00000188782	protein_coding
CEP85	1	26234199	26278808	ENSG00000130695	protein_coding
SH3BGRL3	1	26279175	26280203	ENSG00000142669	protein_coding
UBXN11	1	26282648	26306989	ENSG00000158062	protein_coding
CD52	1	26318527	26320523	ENSG00000169442	protein_coding
AIM1L	1	26321858	26354130	ENSG00000176092	protein_coding
ZNF683	1	26361633	26374522	ENSG00000176083	protein_coding
LIN28A	1	26410777	26429722	ENSG00000131914	protein_coding
DHDDS	1	26432281	26471294	ENSG00000117682	protein_coding
HMGN2	1	26472449	26475972	ENSG00000198830	protein_coding
RPS6KA1	1	26529760	26575030	ENSG00000117676	protein_coding
MIR1976	1	26554541	26554593	ENSG00000238705	miRNA
ARID1A	1	26696032	26782104	ENSG00000117713	protein_coding
PIGV	1	26787471	26798398	ENSG00000060642	protein_coding
ZDHHC18	1	26826709	26857602	ENSG00000204160	protein_coding
SFN	1	26863141	26864456	ENSG00000175793	protein_coding
GPN2	1	26876132	26890297	ENSG00000142751	protein_coding
GPATCH3	1	26890487	26897725	ENSG00000198746	protein_coding
NUDC	1	26902281	26946862	ENSG00000090273	protein_coding
NR0B2	1	26911488	26913966	ENSG00000131910	protein_coding
KDF1	1	26949561	26960406	ENSG00000175707	protein_coding
TRNP1	1	26993706	27000898	ENSG00000253368	protein_coding
FAM46B	1	27005019	27012836	ENSG00000158246	protein_coding
SLC9A1	1	27098814	27166981	ENSG00000090020	protein_coding
WDTC1	1	27234515	27308619	ENSG00000142784	protein_coding
TMEM222	1	27322159	27336400	ENSG00000186501	protein_coding
RNU6-48P	1	27325218	27325325	ENSG00000206888	snRNA
SYTL1	1	27342021	27353930	ENSG00000142765	protein_coding
MAP3K6	1	27355183	27366892	ENSG00000142733	protein_coding
FCN3	1	27369111	27374824	ENSG00000142748	protein_coding
GPR3	1	27392643	27395814	ENSG00000181773	protein_coding
WASF2	1	27404225	27490158	ENSG00000158195	protein_coding
AHDC1	1	27534034	27604431	ENSG00000126705	protein_coding
FGR	1	27612063	27635277	ENSG00000000938	protein_coding
IFI6	1	27666060	27672218	ENSG00000126709	protein_coding
FAM76A	1	27725978	27763122	ENSG00000009780	protein_coding
STX12	1	27773182	27824452	ENSG00000117758	protein_coding
PPP1R8	1	27830777	27847092	ENSG00000117751	protein_coding
SCARNA1	1	27834400	27834566	ENSG00000252947	scaRNA
THEMIS2	1	27872543	27886685	ENSG00000130775	protein_coding
RPA2	1	27891523	27914746	ENSG00000117748	protein_coding
SMPDL3B	1	27934992	27959157	ENSG00000130768	protein_coding
XKR8	1	27959461	27968096	ENSG00000158156	protein_coding
EYA3	1	27970343	28088696	ENSG00000158161	protein_coding
PTAFR	1	28147165	28193936	ENSG00000169403	protein_coding
DNAJC8	1	28199455	28233025	ENSG00000126698	protein_coding
ATPIF1	1	28236108	28246906	ENSG00000130770	protein_coding
SESN2	1	28259526	28282491	ENSG00000130766	protein_coding
MED18	1	28329001	28335965	ENSG00000130772	protein_coding
PHACTR4	1	28369602	28500369	ENSG00000204138	protein_coding
RCC1	1	28505942	28539300	ENSG00000180198	protein_coding
SNHG3	1	28505979	28510892	ENSG00000242125	sense_intronic
TRNAU1AP	1	28553084	28578539	ENSG00000180098	protein_coding
SNHG12	1	28578537	28582983	ENSG00000197989	antisense
SNORD99	1	28578748	28578822	ENSG00000221539	snoRNA
TAF12	1	28589322	28643085	ENSG00000120656	protein_coding
RAB42	1	28592199	28595443	ENSG00000188060	protein_coding
RNU11	1	28648599	28648733	ENSG00000270103	lincRNA
GMEB1	1	28668731	28719353	ENSG00000162419	protein_coding
YTHDF2	1	28736620	28769775	ENSG00000198492	protein_coding
OPRD1	1	28812141	28863696	ENSG00000116329	protein_coding
EPB41	1	28887090	29115803	ENSG00000159023	protein_coding
TMEM200B	1	29122363	29123935	ENSG00000253304	protein_coding
SRSF4	1	29147742	29181987	ENSG00000116350	protein_coding
MECR	1	29192872	29230942	ENSG00000116353	protein_coding
PTPRU	1	29236515	29326813	ENSG00000060656	protein_coding
MATN1	1	30711276	30723587	ENSG00000162510	protein_coding
MATN1-AS1	1	30718503	30726827	ENSG00000186056	antisense
LAPTM5	1	30732468	30757820	ENSG00000162511	protein_coding
MIR4420	1	30739155	30739232	ENSG00000264773	miRNA
SDC3	1	30869466	30908761	ENSG00000162512	protein_coding
PUM1	1	30931505	31065991	ENSG00000134644	protein_coding
NKAIN1	1	31179744	31239554	ENSG00000084628	protein_coding
SNRNP40	1	31259569	31296815	ENSG00000060688	protein_coding
ZCCHC17	1	31296994	31364936	ENSG00000121766	protein_coding
FABP3	1	31365624	31376850	ENSG00000121769	protein_coding
SERINC2	1	31409564	31434678	ENSG00000168528	protein_coding
LINC01226	1	31518434	31524245	ENSG00000223907	lincRNA
TINAGL1	1	31576514	31587687	ENSG00000142910	protein_coding
HCRTR1	1	31617685	31627613	ENSG00000121764	protein_coding
PEF1	1	31629861	31644896	ENSG00000162517	protein_coding
COL16A1	1	31652246	31704319	ENSG00000084636	protein_coding
MIR4254	1	31758659	31758735	ENSG00000266580	miRNA
SPOCD1	1	31790421	31816051	ENSG00000134668	protein_coding
PTP4A2	1	31906420	31944856	ENSG00000184007	protein_coding
KHDRBS1	1	32013828	32060850	ENSG00000121774	protein_coding
TMEM39B	1	32072030	32102866	ENSG00000121775	protein_coding
KPNA6	1	32108037	32176568	ENSG00000025800	protein_coding
TXLNA	1	32179685	32198285	ENSG00000084652	protein_coding
CCDC28B	1	32200385	32205387	ENSG00000160050	protein_coding
IQCC	1	32205634	32208687	ENSG00000160051	protein_coding
DCDC2B	1	32209093	32212793	ENSG00000222046	protein_coding
TMEM234	1	32217436	32221197	ENSG00000160055	protein_coding
EIF3I	1	32224033	32231604	ENSG00000084623	protein_coding
MTMR9LP	1	32231657	32241620	ENSG00000220785	transcribed_unprocessed_pseudogene
